L,arrival_ms,beat,ctx,done_ms,inject_offset_ms,latency_ms,miss,rel_to_injection_ms,sid
2048,15840.0,33,4454,15881.43,120,41.43,0,840.0,0
2048,16320.0,34,4466,16368.67,120,48.67,0,1320.0,0
2048,16800.0,35,4476,16834.24,120,34.24,0,1800.0,0
2048,17280.0,36,4488,17328.71,120,48.71,0,2280.0,0
2048,17760.0,37,4503,17830.42,120,70.42,0,2760.0,0
2048,13920.0,29,2366,13965.88,240,45.88,0,-1200.0,0
2048,14400.0,30,2375,14425.41,240,25.41,0,-720.0,0
2048,14880.0,31,2384,14905.42,240,25.42,0,-240.0,0
2048,15360.0,32,4443,15401.41,240,41.41,0,240.0,0
2048,15840.0,33,4454,15881.43,240,41.43,0,720.0,0
2048,16320.0,34,4466,16368.67,240,48.67,0,1200.0,0
2048,16800.0,35,4476,16834.24,240,34.24,0,1680.0,0
2048,17280.0,36,4488,17328.71,240,48.71,0,2160.0,0
2048,17760.0,37,4503,17830.42,240,70.42,0,2640.0,0
2048,13920.0,29,2366,13965.88,360,45.88,0,-1320.0,0
2048,14400.0,30,2375,14425.41,360,25.41,0,-840.0,0
2048,14880.0,31,2384,14905.42,360,25.42,0,-360.0,0
2048,15360.0,32,4443,15421.29,360,61.29,0,120.0,0
2048,15840.0,33,4454,15881.43,360,41.43,0,600.0,0
2048,16320.0,34,4466,16368.67,360,48.67,0,1080.0,0
2048,16800.0,35,4476,16834.24,360,34.24,0,1560.0,0
2048,17280.0,36,4488,17328.71,360,48.71,0,2040.0,0
2048,17760.0,37,4503,17830.42,360,70.42,0,2520.0,0
2048,13920.0,29,2366,13965.88,470,45.88,0,-1430.0,0
2048,14400.0,30,2375,14425.41,470,25.41,0,-950.0,0
2048,14880.0,31,2384,14905.42,470,25.42,0,-470.0,0
2048,15360.0,32,4443,15531.29,470,171.29,0,10.0,0
2048,15840.0,33,4454,15881.43,470,41.43,0,490.0,0
2048,16320.0,34,4466,16368.67,470,48.67,0,970.0,0
2048,16800.0,35,4476,16834.24,470,34.24,0,1450.0,0
2048,17280.0,36,4488,17328.71,470,48.71,0,1930.0,0
2048,17760.0,37,4503,17830.42,470,70.42,0,2410.0,0
3072,13920.0,29,2366,13965.88,5,45.88,0,-965.0,0
3072,14400.0,30,2375,14425.41,5,25.41,0,-485.0,0
3072,14880.0,31,2384,14905.42,5,25.42,0,-5.0,0
3072,15360.0,32,5467,15403.1,5,43.1,0,475.0,0
3072,15840.0,33,5478,15883.12,5,43.12,0,955.0,0
3072,16320.0,34,5490,16370.54,5,50.54,0,1435.0,0
3072,16800.0,35,5500,16835.76,5,35.76,0,1915.0,0
3072,17280.0,36,5512,17330.58,5,50.58,0,2395.0,0
3072,17760.0,37,5527,17832.82,5,72.82,0,2875.0,0
3072,13920.0,29,2366,13965.88,120,45.88,0,-1080.0,0
3072,14400.0,30,2375,14425.41,120,25.41,0,-600.0,0
3072,14880.0,31,2384,14905.42,120,25.42,0,-120.0,0
3072,15360.0,32,5467,15403.1,120,43.1,0,360.0,0
3072,15840.0,33,5478,15883.12,120,43.12,0,840.0,0
3072,16320.0,34,5490,16370.54,120,50.54,0,1320.0,0
3072,16800.0,35,5500,16835.76,120,35.76,0,1800.0,0
